Object ID,File,Bounding Box,Extracted Text,Summary
1,object_1_0.png,"(2234348365129187328, 1945555039024054272, 6846034383556575232, 12105675798371893248)"," 
",A photo of a playful dog running in the park.
2,object_1_1.png,"(12178014867386531840, 13979173243358019584, 15132376222941577216, 1441433355735269376)",,A person sitting on a bench with a relaxed posture.
3,object_1_2.png,"(15636497906230362112, 16357073846609641472, 1297318167659413504, 4684025087442026496)",,No summary available
4,object_1_3.png,"(1729663731886981120, 7638104968020361216, 4251679523214458880, 13546827679130451968)",,No summary available
5,object_1_4.png,"(14339742688524369920, 2305843009213693952, 865254078408556544, 11745387828182253568)","aE
",No summary available
6,object_1_5.png,"(16212958658533785600, 9871890383196127232, 792915009393917952, 16140901064495857664)",,No summary available
7,object_1_6.png,"(16285016252571713536, 9799832789158199296, 864972603431845888, 16357073846609641472)",,No summary available
8,object_1_7.png,"(72620543991349248, 5332261958806667264, 2810809117432610816, 11385099857992613888)",,No summary available
9,object_1_8.png,"(16141182539472568320, 5260204364768739328, 2450521147242971136, 11673330234144325632)","ms
",No summary available
10,object_1_9.png,"(16933534598913064960, 8718968878589280256, 18014398509481984000, 9295429630892703744)",,No summary available
11,object_1_10.png,"(15204433816979505152, 6196953087261802496, 360850920143060992, 11817445422220181504)",,No summary available
12,object_1_11.png,"(8575416640466845696, 3963167672086036480, 9151877392770269184, 5980780305148018688)",,No summary available
13,object_1_12.png,"(15997067351396712448, 6989586621679009792, 9151877392770269184, 11889503016258109440)",,No summary available
14,object_1_13.png,"(649081296294772736, 5188146770730811392, 8287186264315133952, 11961560610296037376)","ey
",No summary available
15,object_1_14.png,"(721138890332700672, 4539628424389459968, 2522578741280899072, 5836665117072162816)",,No summary available
16,object_1_15.png,"(3171097087622250496, 3746994889972252672, 5981343255101440000, 6557241057451442176)",,No summary available
17,object_1_16.png,"(649081296294772736, 5764607523034234880, 2954924305508466688, 9511602413006487552)",,No summary available
18,object_1_17.png,"(15060318628903649280, 5692549928996306944, 360850920143060992, 11673330234144325632)",,No summary available
19,object_1_18.png,"(649081296294772736, 5044031582654955520, 2450521147242971136, 8935141660703064064)","seen |
",No summary available
20,object_1_19.png,"(15997067351396712448, 5404319552844595200, 2810809117432610816, 11601272640106397696)",,No summary available
21,object_1_20.png,"(8647474234504773632, 4035225266123964416, 9151877392770269184, 5908722711110090752)",,No summary available
22,object_1_21.png,"(144678138029277184, 5476377146882523136, 8863647016618557440, 9655717601082343424)","i
",No summary available
23,object_1_22.png,"(17005873667927703552, 8142508126285856768, 9079819798732341248, 10592466323575406592)",,No summary available
24,object_1_23.png,"(16429412915624280064, 6052837899185946624, 865254078408556544, 10520408729537478656)",,No summary available
25,object_1_24.png,"(793196484370628608, 5332261958806667264, 2378463553205043200, 5908722711110090752)",,No summary available
26,object_1_25.png,"(14988261034865721344, 5620492334958379008, 562949953421312, 11673330234144325632)",,No summary available
27,object_1_26.png,"(16357355321586352128, 6701356245527298048, 18230852766572478464, 8502796096475496448)",,No summary available
